User #,Employee #,Username,Password
1,10001,AdminGarcia,10001
2,10002,NonAdminLim,10002
3,10003,Aquino,10003
4,10004,Reyes,10004
5,10005,Hernandez,10005
6,10006,Villanueva,10006
7,10007,San Jose,10007
8,10008,Romualdez,10008
9,10009,Atienza,10009
10,10010,Alvaro,10010
11,10011,Salcedo,10011
12,10012,Lopez,10012
13,10013,Farala,10013
14,10014,Martinez,10014
15,10015,Romualdez,10015
16,10016,Mata,10016
17,10017,De Leon,10017
18,10018,San Jose,10018
19,10019,Rosario,10019
20,10020,Bautista,10020
21,10021,Lazaro,10021
22,10022,Delos Santos,10022
23,10023,Santos,10023
24,10024,Del Rosario,10024
25,10025,Tolentino,10025
26,10026,Gutierrez,10026
27,10027,Manalaysay,10027
28,10028,Villegas,10028
29,10029,Ramos,10029
30,10030,Maceda,10030
31,10031,Aguilar,10031
32,10032,Castro,10032
33,10033,Martinez,10033
34,10034,Santos,10034
